PlayerID,TeamID,Team,TeamLogo,Number,Name,Position,Age,Nationality,Market Value,Image,League,Country,Scor
bayern_munchen_jonas_urbig,bayern_munchen,Bayern Munchen,bayern_munchen.png,40,Jonas Urbig,Goalkeeper,"Aug 8, 2003 (21)",Germany,â‚¬8.00m,bayern_munchen_jonas_urbig.jpg,Bundesliga,Germania,1
bayern_munchen_manuel_neuer,bayern_munchen,Bayern Munchen,bayern_munchen.png,1,Manuel Neuer,Goalkeeper,"Mar 27, 1986 (39)",Germany,â‚¬4.00m,bayern_munchen_manuel_neuer.jpg,Bundesliga,Germania,4
bayern_munchen_dayot_upamecano,bayern_munchen,Bayern Munchen,bayern_munchen.png,2,Dayot Upamecano,Centre-Back,"Oct 27, 1998 (26)",France,â‚¬50.00m,bayern_munchen_dayot_upamecano.jpg,Bundesliga,Germania,3
bayern_munchen_min-jae_kim,bayern_munchen,Bayern Munchen,bayern_munchen.png,3,Min-jae Kim,Centre-Back,"Nov 15, 1996 (28)","Korea, South",â‚¬45.00m,bayern_munchen_min-jae_kim.jpg,Bundesliga,Germania,3
bayern_munchen_hiroki_ito,bayern_munchen,Bayern Munchen,bayern_munchen.png,21,Hiroki Ito,Centre-Back,"May 12, 1999 (25)",Japan,â‚¬30.00m,bayern_munchen_hiroki_ito.jpg,Bundesliga,Germania,1
bayern_munchen_eric_dier,bayern_munchen,Bayern Munchen,bayern_munchen.png,15,Eric Dier,Centre-Back,"Jan 15, 1994 (31)",England,â‚¬8.00m,bayern_munchen_eric_dier.jpg,Bundesliga,Germania,3
bayern_munchen_alphonso_davies,bayern_munchen,Bayern Munchen,bayern_munchen.png,19,Alphonso Davies,Left-Back,"Nov 2, 2000 (24)",Canada,â‚¬50.00m,bayern_munchen_alphonso_davies.jpg,Bundesliga,Germania,4
bayern_munchen_raphael_guerreiro,bayern_munchen,Bayern Munchen,bayern_munchen.png,22,Raphael Guerreiro,Left-Back,"Dec 22, 1993 (31)",Portugal,â‚¬10.00m,bayern_munchen_raphael_guerreiro.jpg,Bundesliga,Germania,2
bayern_munchen_josip_stanisic,bayern_munchen,Bayern Munchen,bayern_munchen.png,44,Josip Stanisic,Right-Back,"Apr 2, 2000 (25)",Croatia,â‚¬28.00m,bayern_munchen_josip_stanisic.jpg,Bundesliga,Germania,3
bayern_munchen_sacha_boey,bayern_munchen,Bayern Munchen,bayern_munchen.png,23,Sacha Boey,Right-Back,"Sep 13, 2000 (24)",France,â‚¬18.00m,bayern_munchen_sacha_boey.jpg,Bundesliga,Germania,1
bayern_munchen_joshua_kimmich,bayern_munchen,Bayern Munchen,bayern_munchen.png,6,Joshua Kimmich,Defensive Midfield,"Feb 8, 1995 (30)",Germany,â‚¬50.00m,bayern_munchen_joshua_kimmich.jpg,Bundesliga,Germania,5
bayern_munchen_aleksandar_pavlovic,bayern_munchen,Bayern Munchen,bayern_munchen.png,45,Aleksandar Pavlovic,Defensive Midfield,"May 3, 2004 (20)",Germany,â‚¬50.00m,bayern_munchen_aleksandar_pavlovic.jpg,Bundesliga,Germania,3
bayern_munchen_joao_palhinha,bayern_munchen,Bayern Munchen,bayern_munchen.png,16,Joao Palhinha,Defensive Midfield,"Jul 9, 1995 (29)",Portugal,â‚¬40.00m,bayern_munchen_joao_palhinha.jpg,Bundesliga,Germania,3
bayern_munchen_konrad_laimer,bayern_munchen,Bayern Munchen,bayern_munchen.png,27,Konrad Laimer,Central Midfield,"May 27, 1997 (27)",Austria,â‚¬25.00m,bayern_munchen_konrad_laimer.jpg,Bundesliga,Germania,3
bayern_munchen_leon_goretzka,bayern_munchen,Bayern Munchen,bayern_munchen.png,8,Leon Goretzka,Central Midfield,"Feb 6, 1995 (30)",Germany,â‚¬22.00m,bayern_munchen_leon_goretzka.jpg,Bundesliga,Germania,3
